month,category,region,sku,product_name,qty,amount,cost,margin
2025-10,Beverage,กรุงเทพ,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,4023,261495,193104,68391
2025-10,Beverage,กรุงเทพ,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,790,244900,206980,37920
2025-10,Beverage,ภาคกลาง,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,1463,95095,70224,24871
2025-10,Beverage,ภาคกลาง,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,240,74400,62880,11520
2025-10,Beverage,ภาคตะวันออก,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,1290,83850,61920,21930
2025-10,Beverage,ภาคตะวันออก,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,307,95170,80434,14736
2025-10,Beverage,ภาคเหนือ,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,924,60060,44352,15708
2025-10,Beverage,ภาคเหนือ,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,216,66960,56592,10368
2025-10,Beverage,ภาคอีสาน,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,1062,69030,50976,18054
2025-10,Beverage,ภาคอีสาน,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,262,81220,68644,12576
2025-10,Beverage,ภาคใต้,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,1072,69680,51456,18224
2025-10,Beverage,ภาคใต้,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,211,65410,55282,10128
2025-10,Packaging,กรุงเทพ,PK-5003,กล่องอาหารกระดาษ 100 ชิ้น,877,157860,115764,42096
2025-10,Packaging,กรุงเทพ,PK-5017,ถุงซิปล็อค 10 นิ้ว 100 ใบ,1737,165015,114642,50373
2025-10,Packaging,ภาคกลาง,PK-5003,กล่องอาหารกระดาษ 100 ชิ้น,335,60300,44220,16080
2025-10,Packaging,ภาคกลาง,PK-5017,ถุงซิปล็อค 10 นิ้ว 100 ใบ,675,64125,44550,19575
2025-10,Packaging,ภาคตะวันออก,PK-5003,กล่องอาหารกระดาษ 100 ชิ้น,378,68040,49896,18144
2025-10,Packaging,ภาคตะวันออก,PK-5017,ถุงซิปล็อค 10 นิ้ว 100 ใบ,644,61180,42504,18676
2025-10,Packaging,ภาคเหนือ,PK-5003,กล่องอาหารกระดาษ 100 ชิ้น,277,49860,36564,13296
2025-10,Packaging,ภาคเหนือ,PK-5017,ถุงซิปล็อค 10 นิ้ว 100 ใบ,477,45315,31482,13833
2025-10,Packaging,ภาคอีสาน,PK-5003,กล่องอาหารกระดาษ 100 ชิ้น,244,43920,32208,11712
2025-10,Packaging,ภาคอีสาน,PK-5017,ถุงซิปล็อค 10 นิ้ว 100 ใบ,519,49305,34254,15051
2025-10,Packaging,ภาคใต้,PK-5003,กล่องอาหารกระดาษ 100 ชิ้น,287,51660,37884,13776
2025-10,Packaging,ภาคใต้,PK-5017,ถุงซิปล็อค 10 นิ้ว 100 ใบ,612,58140,40392,17748
2025-11,Frozen,กรุงเทพ,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,8034,763230,578448,184782
2025-11,Frozen,กรุงเทพ,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,2266,725120,577830,147290
2025-11,Frozen,ภาคกลาง,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,2235,212325,160920,51405
2025-11,Frozen,ภาคกลาง,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,930,297600,237150,60450
2025-11,Frozen,ภาคตะวันออก,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,2251,213845,162072,51773
2025-11,Frozen,ภาคตะวันออก,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,728,232960,185640,47320
2025-11,Frozen,ภาคเหนือ,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,2242,212990,161424,51566
2025-11,Frozen,ภาคเหนือ,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,556,177920,141780,36140
2025-11,Frozen,ภาคอีสาน,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,2376,225720,171072,54648
2025-11,Frozen,ภาคอีสาน,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,646,206720,164730,41990
2025-11,Frozen,ภาคใต้,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,2508,238260,180576,57684
2025-11,Frozen,ภาคใต้,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,626,200320,159630,40690
2025-11,Chilled,กรุงเทพ,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,4130,404740,330400,74340
2025-11,Chilled,กรุงเทพ,CH-2033,เนยเค็ม 500 ก.,2968,430360,341320,89040
2025-11,Chilled,ภาคกลาง,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,1945,190610,155600,35010
2025-11,Chilled,ภาคกลาง,CH-2033,เนยเค็ม 500 ก.,1122,162690,129030,33660
2025-11,Chilled,ภาคตะวันออก,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,1857,181986,148560,33426
2025-11,Chilled,ภาคตะวันออก,CH-2033,เนยเค็ม 500 ก.,973,141085,111895,29190
2025-11,Chilled,ภาคเหนือ,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,1474,144452,117920,26532
2025-11,Chilled,ภาคเหนือ,CH-2033,เนยเค็ม 500 ก.,801,116145,92115,24030
2025-11,Chilled,ภาคอีสาน,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,1234,120932,98720,22212
2025-11,Chilled,ภาคอีสาน,CH-2033,เนยเค็ม 500 ก.,1004,145580,115460,30120
2025-11,Chilled,ภาคใต้,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,1370,134260,109600,24660
2025-11,Chilled,ภาคใต้,CH-2033,เนยเค็ม 500 ก.,1192,172840,137080,35760
2025-11,Dry,กรุงเทพ,DR-3001,ข้าวหอมมะลิ 15 กก.,809,558210,477310,80900
2025-11,Dry,กรุงเทพ,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,638,459360,408320,51040
2025-11,Dry,ภาคกลาง,DR-3001,ข้าวหอมมะลิ 15 กก.,271,186990,159890,27100
2025-11,Dry,ภาคกลาง,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,292,210240,186880,23360
2025-11,Dry,ภาคตะวันออก,DR-3001,ข้าวหอมมะลิ 15 กก.,256,176640,151040,25600
2025-11,Dry,ภาคตะวันออก,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,266,191520,170240,21280
2025-11,Dry,ภาคเหนือ,DR-3001,ข้าวหอมมะลิ 15 กก.,182,125580,107380,18200
2025-11,Dry,ภาคเหนือ,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,204,146880,130560,16320
2025-11,Dry,ภาคอีสาน,DR-3001,ข้าวหอมมะลิ 15 กก.,205,141450,120950,20500
2025-11,Dry,ภาคอีสาน,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,200,144000,128000,16000
2025-11,Dry,ภาคใต้,DR-3001,ข้าวหอมมะลิ 15 กก.,215,148350,126850,21500
2025-11,Dry,ภาคใต้,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,201,144720,128640,16080
2025-11,Beverage,กรุงเทพ,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,3670,238550,176160,62390
2025-11,Beverage,กรุงเทพ,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,755,234050,197810,36240
2025-11,Beverage,ภาคกลาง,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,1564,101660,75072,26588
2025-11,Beverage,ภาคกลาง,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,255,79050,66810,12240
2025-11,Beverage,ภาคตะวันออก,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,1206,78390,57888,20502
2025-11,Beverage,ภาคตะวันออก,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,271,84010,71002,13008
2025-11,Beverage,ภาคเหนือ,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,1019,66235,48912,17323
2025-11,Beverage,ภาคเหนือ,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,235,72850,61570,11280
2025-11,Beverage,ภาคอีสาน,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,1182,76830,56736,20094
2025-11,Beverage,ภาคอีสาน,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,200,62000,52400,9600
2025-11,Beverage,ภาคใต้,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,1354,88010,64992,23018
2025-11,Beverage,ภาคใต้,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,285,88350,74670,13680
2025-11,Packaging,กรุงเทพ,PK-5003,กล่องอาหารกระดาษ 100 ชิ้น,942,169560,124344,45216
2025-11,Packaging,กรุงเทพ,PK-5017,ถุงซิปล็อค 10 นิ้ว 100 ใบ,2024,192280,133584,58696
2025-11,Packaging,ภาคกลาง,PK-5003,กล่องอาหารกระดาษ 100 ชิ้น,384,69120,50688,18432
2025-11,Packaging,ภาคกลาง,PK-5017,ถุงซิปล็อค 10 นิ้ว 100 ใบ,529,50255,34914,15341
2025-11,Packaging,ภาคตะวันออก,PK-5003,กล่องอาหารกระดาษ 100 ชิ้น,294,52920,38808,14112
2025-11,Packaging,ภาคตะวันออก,PK-5017,ถุงซิปล็อค 10 นิ้ว 100 ใบ,567,53865,37422,16443
2025-11,Packaging,ภาคเหนือ,PK-5003,กล่องอาหารกระดาษ 100 ชิ้น,298,53640,39336,14304
2025-11,Packaging,ภาคเหนือ,PK-5017,ถุงซิปล็อค 10 นิ้ว 100 ใบ,422,40090,27852,12238
2025-11,Packaging,ภาคอีสาน,PK-5003,กล่องอาหารกระดาษ 100 ชิ้น,260,46800,34320,12480
2025-11,Packaging,ภาคอีสาน,PK-5017,ถุงซิปล็อค 10 นิ้ว 100 ใบ,543,51585,35838,15747
2025-11,Packaging,ภาคใต้,PK-5003,กล่องอาหารกระดาษ 100 ชิ้น,294,52920,38808,14112
2025-11,Packaging,ภาคใต้,PK-5017,ถุงซิปล็อค 10 นิ้ว 100 ใบ,622,59090,41052,18038
2025-12,Frozen,กรุงเทพ,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,8466,804270,609552,194718
2025-12,Frozen,กรุงเทพ,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,2831,905920,721905,184015
2025-12,Frozen,ภาคกลาง,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,3610,342950,259920,83030
2025-12,Frozen,ภาคกลาง,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,926,296320,236130,60190
2025-12,Frozen,ภาคตะวันออก,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,3702,351690,266544,85146
2025-12,Frozen,ภาคตะวันออก,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,1112,355840,283560,72280
2025-12,Frozen,ภาคเหนือ,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,2924,277780,210528,67252
2025-12,Frozen,ภาคเหนือ,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,701,224320,178755,45565
2025-12,Frozen,ภาคอีสาน,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,2465,234175,177480,56695
2025-12,Frozen,ภาคอีสาน,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,718,229760,183090,46670
2025-12,Frozen,ภาคใต้,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,3174,301530,228528,73002
2025-12,Frozen,ภาคใต้,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,952,304640,242760,61880
2025-12,Chilled,กรุงเทพ,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,4829,473242,386320,86922
2025-12,Chilled,กรุงเทพ,CH-2033,เนยเค็ม 500 ก.,2952,428040,339480,88560
2025-12,Chilled,ภาคกลาง,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,1830,179340,146400,32940
2025-12,Chilled,ภาคกลาง,CH-2033,เนยเค็ม 500 ก.,1510,218950,173650,45300
2025-12,Chilled,ภาคตะวันออก,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,2026,198548,162080,36468
2025-12,Chilled,ภาคตะวันออก,CH-2033,เนยเค็ม 500 ก.,1510,218950,173650,45300
2025-12,Chilled,ภาคเหนือ,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,1476,144648,118080,26568
2025-12,Chilled,ภาคเหนือ,CH-2033,เนยเค็ม 500 ก.,1071,155295,123165,32130
2025-12,Chilled,ภาคอีสาน,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,1581,154938,126480,28458
2025-12,Chilled,ภาคอีสาน,CH-2033,เนยเค็ม 500 ก.,999,144855,114885,29970
2025-12,Chilled,ภาคใต้,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,1599,156702,127920,28782
2025-12,Chilled,ภาคใต้,CH-2033,เนยเค็ม 500 ก.,1345,195025,154675,40350
2025-12,Dry,กรุงเทพ,DR-3001,ข้าวหอมมะลิ 15 กก.,692,477480,408280,69200
2025-12,Dry,กรุงเทพ,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,810,583200,518400,64800
2025-12,Dry,ภาคกลาง,DR-3001,ข้าวหอมมะลิ 15 กก.,296,204240,174640,29600
2025-12,Dry,ภาคกลาง,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,291,209520,186240,23280
2025-12,Dry,ภาคตะวันออก,DR-3001,ข้าวหอมมะลิ 15 กก.,299,206310,176410,29900
2025-12,Dry,ภาคตะวันออก,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,329,236880,210560,26320
2025-12,Dry,ภาคเหนือ,DR-3001,ข้าวหอมมะลิ 15 กก.,224,154560,132160,22400
2025-12,Dry,ภาคเหนือ,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,230,165600,147200,18400
2025-12,Dry,ภาคอีสาน,DR-3001,ข้าวหอมมะลิ 15 กก.,197,135930,116230,19700
2025-12,Dry,ภาคอีสาน,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,227,163440,145280,18160
2025-12,Dry,ภาคใต้,DR-3001,ข้าวหอมมะลิ 15 กก.,282,194580,166380,28200
2025-12,Dry,ภาคใต้,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,278,200160,177920,22240
2025-12,Beverage,กรุงเทพ,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,3978,258570,190944,67626
2025-12,Beverage,กรุงเทพ,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,748,231880,195976,35904
2025-12,Beverage,ภาคกลาง,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,1499,97435,71952,25483
2025-12,Beverage,ภาคกลาง,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,319,98890,83578,15312
2025-12,Beverage,ภาคตะวันออก,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,1364,88660,65472,23188
2025-12,Beverage,ภาคตะวันออก,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,396,122760,103752,19008
2025-12,Beverage,ภาคเหนือ,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,1151,74815,55248,19567
2025-12,Beverage,ภาคเหนือ,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,257,79670,67334,12336
2025-12,Beverage,ภาคอีสาน,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,1227,79755,58896,20859
2025-12,Beverage,ภาคอีสาน,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,268,83080,70216,12864
2025-12,Beverage,ภาคใต้,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,1613,104845,77424,27421
2025-12,Beverage,ภาคใต้,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,291,90210,76242,13968
2025-12,Packaging,กรุงเทพ,PK-5003,กล่องอาหารกระดาษ 100 ชิ้น,913,164340,120516,43824
2025-12,Packaging,กรุงเทพ,PK-5017,ถุงซิปล็อค 10 นิ้ว 100 ใบ,2099,199405,138534,60871
2025-12,Packaging,ภาคกลาง,PK-5003,กล่องอาหารกระดาษ 100 ชิ้น,348,62640,45936,16704
2025-12,Packaging,ภาคกลาง,PK-5017,ถุงซิปล็อค 10 นิ้ว 100 ใบ,661,62795,43626,19169
2025-12,Packaging,ภาคตะวันออก,PK-5003,กล่องอาหารกระดาษ 100 ชิ้น,374,67320,49368,17952
2025-12,Packaging,ภาคตะวันออก,PK-5017,ถุงซิปล็อค 10 นิ้ว 100 ใบ,795,75525,52470,23055
2025-12,Packaging,ภาคเหนือ,PK-5003,กล่องอาหารกระดาษ 100 ชิ้น,328,59040,43296,15744
2025-12,Packaging,ภาคเหนือ,PK-5017,ถุงซิปล็อค 10 นิ้ว 100 ใบ,560,53200,36960,16240
2025-12,Packaging,ภาคอีสาน,PK-5003,กล่องอาหารกระดาษ 100 ชิ้น,357,64260,47124,17136
2025-12,Packaging,ภาคอีสาน,PK-5017,ถุงซิปล็อค 10 นิ้ว 100 ใบ,683,64885,45078,19807
2025-12,Packaging,ภาคใต้,PK-5003,กล่องอาหารกระดาษ 100 ชิ้น,300,54000,39600,14400
2025-12,Packaging,ภาคใต้,PK-5017,ถุงซิปล็อค 10 นิ้ว 100 ใบ,766,72770,50556,22214
2026-01,Frozen,กรุงเทพ,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,7688,730360,553536,176824
2026-01,Frozen,กรุงเทพ,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,1735,555200,442425,112775
2026-01,Frozen,ภาคกลาง,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,2899,275405,208728,66677
2026-01,Frozen,ภาคกลาง,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,890,284800,226950,57850
2026-01,Frozen,ภาคตะวันออก,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,2727,259065,196344,62721
2026-01,Frozen,ภาคตะวันออก,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,739,236480,188445,48035
2026-01,Frozen,ภาคเหนือ,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,1927,183065,138744,44321
2026-01,Frozen,ภาคเหนือ,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,644,206080,164220,41860
2026-01,Frozen,ภาคอีสาน,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,2215,210425,159480,50945
2026-01,Frozen,ภาคอีสาน,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,493,157760,125715,32045
2026-01,Frozen,ภาคใต้,FZ-1042,ปีกไก่แช่แข็ง 1 กก.,2165,205675,155880,49795
2026-01,Frozen,ภาคใต้,FZ-1108,กุ้งขาวแช่แข็ง 31/40 1 กก.,769,246080,196095,49985
2026-01,Chilled,กรุงเทพ,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,4465,437570,357200,80370
2026-01,Chilled,กรุงเทพ,CH-2033,เนยเค็ม 500 ก.,3157,457765,363055,94710
2026-01,Chilled,ภาคกลาง,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,1281,125538,102480,23058
2026-01,Chilled,ภาคกลาง,CH-2033,เนยเค็ม 500 ก.,1228,178060,141220,36840
2026-01,Chilled,ภาคตะวันออก,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,1668,163464,133440,30024
2026-01,Chilled,ภาคตะวันออก,CH-2033,เนยเค็ม 500 ก.,1234,178930,141910,37020
2026-01,Chilled,ภาคเหนือ,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,1149,112602,91920,20682
2026-01,Chilled,ภาคเหนือ,CH-2033,เนยเค็ม 500 ก.,780,113100,89700,23400
2026-01,Chilled,ภาคอีสาน,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,1239,121422,99120,22302
2026-01,Chilled,ภาคอีสาน,CH-2033,เนยเค็ม 500 ก.,883,128035,101545,26490
2026-01,Chilled,ภาคใต้,CH-2010,นมสดพาสเจอร์ไรส์ 2 ลิตร,1154,113092,92320,20772
2026-01,Chilled,ภาคใต้,CH-2033,เนยเค็ม 500 ก.,745,108025,85675,22350
2026-01,Dry,กรุงเทพ,DR-3001,ข้าวหอมมะลิ 15 กก.,589,406410,347510,58900
2026-01,Dry,กรุงเทพ,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,530,381600,339200,42400
2026-01,Dry,ภาคกลาง,DR-3001,ข้าวหอมมะลิ 15 กก.,266,183540,156940,26600
2026-01,Dry,ภาคกลาง,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,206,148320,131840,16480
2026-01,Dry,ภาคตะวันออก,DR-3001,ข้าวหอมมะลิ 15 กก.,289,199410,170510,28900
2026-01,Dry,ภาคตะวันออก,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,270,194400,172800,21600
2026-01,Dry,ภาคเหนือ,DR-3001,ข้าวหอมมะลิ 15 กก.,167,115230,98530,16700
2026-01,Dry,ภาคเหนือ,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,159,114480,101760,12720
2026-01,Dry,ภาคอีสาน,DR-3001,ข้าวหอมมะลิ 15 กก.,182,125580,107380,18200
2026-01,Dry,ภาคอีสาน,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,182,131040,116480,14560
2026-01,Dry,ภาคใต้,DR-3001,ข้าวหอมมะลิ 15 กก.,206,142140,121540,20600
2026-01,Dry,ภาคใต้,DR-3015,น้ำมันปาล์ม 13.75 ลิตร,174,125280,111360,13920
2026-01,Beverage,กรุงเทพ,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,3291,213915,157968,55947
2026-01,Beverage,กรุงเทพ,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,801,248310,209862,38448
2026-01,Beverage,ภาคกลาง,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,1368,88920,65664,23256
2026-01,Beverage,ภาคกลาง,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,308,95480,80696,14784
2026-01,Beverage,ภาคตะวันออก,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,1541,100165,73968,26197
2026-01,Beverage,ภาคตะวันออก,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,280,86800,73360,13440
2026-01,Beverage,ภาคเหนือ,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,1121,72865,53808,19057
2026-01,Beverage,ภาคเหนือ,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,215,66650,56330,10320
2026-01,Beverage,ภาคอีสาน,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,1091,70915,52368,18547
2026-01,Beverage,ภาคอีสาน,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,223,69130,58426,10704
2026-01,Beverage,ภาคใต้,BV-4002,น้ำดื่ม 600 มล. แพ็ก 12,998,64870,47904,16966
2026-01,Beverage,ภาคใต้,BV-4020,น้ำอัดลมกระป๋อง แพ็ก 24,236,73160,61832,11328
2026-01,Packaging,กรุงเทพ,PK-5003,กล่องอาหารกระดาษ 100 ชิ้น,963,173340,127116,46224
2026-01,Packaging,กรุงเทพ,PK-5017,ถุงซิปล็อค 10 นิ้ว 100 ใบ,1499,142405,98934,43471
2026-01,Packaging,ภาคกลาง,PK-5003,กล่องอาหารกระดาษ 100 ชิ้น,284,51120,37488,13632
